Zipcode,Total:,"Speak English ""very well"" TOTAL","Speak English less than ""very well"" TOTAL ",Speak only English
"New York, NY",100.00%,26.03%,22.47%,51.50%
7002,100.00%,31.49%,16.77%,51.74%
7008,100.00%,38.32%,17.92%,43.76%
7020,100.00%,36.94%,17.31%,45.75%
7024,100.00%,31.43%,25.76%,42.81%
7036,100.00%,30.48%,19.34%,50.18%
7064,100.00%,27.03%,10.17%,62.80%
7077,100.00%,15.01%,11.23%,73.76%
7202,100.00%,35.72%,41.85%,22.42%
7206,100.00%,29.36%,45.42%,25.22%
7305,100.00%,26.37%,16.16%,57.47%
7620,100.00%,25.36%,15.24%,59.40%
7632,100.00%,38.36%,16.67%,44.98%
7670,100.00%,30.52%,12.29%,57.19%
8861,100.00%,45.30%,33.42%,21.28%
10001,100.00%,19.58%,12.64%,67.77%
10002,100.00%,22.89%,38.32%,38.79%
10003,100.00%,15.57%,4.87%,79.56%
10004,100.00%,20.68%,1.30%,78.02%
10005,100.00%,21.20%,2.63%,76.17%
10006,100.00%,22.96%,4.59%,72.46%
10007,100.00%,20.74%,5.42%,73.84%
10009,100.00%,22.13%,13.39%,64.48%
10010,100.00%,18.97%,6.63%,74.40%
10011,100.00%,17.17%,4.31%,78.52%
10012,100.00%,17.09%,7.54%,75.37%
10013,100.00%,16.10%,19.39%,64.51%
10014,100.00%,13.32%,0.78%,85.90%
10016,100.00%,21.15%,7.52%,71.34%
10017,100.00%,23.34%,7.36%,69.30%
10018,100.00%,24.43%,16.16%,59.42%
10019,100.00%,27.80%,9.85%,62.35%
10021,100.00%,18.48%,3.99%,77.53%
10022,100.00%,19.33%,4.19%,76.48%
10023,100.00%,20.91%,5.10%,73.99%
10024,100.00%,16.73%,5.11%,78.17%
10025,100.00%,23.69%,13.07%,63.24%
10026,100.00%,25.40%,9.30%,65.29%
10027,100.00%,27.77%,11.64%,60.59%
10028,100.00%,20.92%,3.00%,76.08%
10029,100.00%,33.09%,18.97%,47.94%
10030,100.00%,19.96%,13.79%,66.25%
10031,100.00%,31.86%,24.98%,43.16%
10032,100.00%,33.98%,35.92%,30.11%
10033,100.00%,34.09%,37.36%,28.55%
10034,100.00%,36.61%,34.29%,29.10%
10035,100.00%,30.26%,16.22%,53.52%
10036,100.00%,26.42%,11.25%,62.32%
10037,100.00%,20.64%,9.94%,69.42%
10038,100.00%,20.19%,19.61%,60.21%
10039,100.00%,24.25%,16.02%,59.73%
10040,100.00%,34.93%,37.41%,27.67%
10044,100.00%,34.72%,17.85%,47.43%
10065,100.00%,21.45%,5.52%,73.03%
10069,100.00%,26.89%,13.21%,59.90%
10075,100.00%,26.33%,5.07%,68.60%
10128,100.00%,26.15%,4.71%,69.13%
10162,100.00%,21.74%,0.00%,78.26%
10279,100.00%,0.00%,0.00%,100.00%
10280,100.00%,30.72%,4.83%,64.45%
10282,100.00%,20.18%,6.51%,73.31%
10301,100.00%,19.92%,11.29%,68.79%
10302,100.00%,27.88%,12.28%,59.84%
10303,100.00%,31.26%,13.14%,55.60%
10304,100.00%,25.36%,13.86%,60.78%
10305,100.00%,27.25%,19.48%,53.27%
10306,100.00%,20.48%,12.66%,66.86%
10308,100.00%,13.88%,7.73%,78.39%
10310,100.00%,22.99%,10.95%,66.05%
10312,100.00%,13.23%,6.44%,80.33%
10451,100.00%,32.02%,28.63%,39.35%
10453,100.00%,34.98%,35.93%,29.09%
10455,100.00%,39.28%,31.16%,29.57%
10457,100.00%,36.26%,32.62%,31.13%
10459,100.00%,38.91%,28.46%,32.63%
10461,100.00%,34.28%,20.27%,45.45%
10463,100.00%,32.56%,21.50%,45.94%
10465,100.00%,28.73%,12.02%,59.25%
10467,100.00%,32.40%,26.53%,41.07%
10469,100.00%,25.90%,13.57%,60.53%
10471,100.00%,23.85%,10.96%,65.20%
10472,100.00%,34.68%,32.10%,33.22%
10473,100.00%,37.18%,15.66%,47.17%
10474,100.00%,30.36%,31.77%,37.86%
10475,100.00%,20.94%,12.63%,66.44%
10550,100.00%,14.46%,9.91%,75.63%
10704,100.00%,28.55%,12.11%,59.34%
10705,100.00%,33.30%,25.12%,41.58%
10803,100.00%,14.70%,4.76%,80.54%
11001,100.00%,18.87%,13.72%,67.41%
11003,100.00%,28.45%,15.43%,56.11%
11004,100.00%,32.52%,14.22%,53.26%
11005,100.00%,7.45%,1.31%,91.25%
11020,100.00%,28.29%,18.47%,53.24%
11021,100.00%,23.07%,15.99%,60.94%
11040,100.00%,31.64%,16.47%,51.89%
11042,100.00%,9.88%,8.70%,81.42%
11096,100.00%,19.13%,30.13%,50.75%
11101,100.00%,26.33%,19.68%,53.99%
11102,100.00%,28.16%,23.14%,48.70%
11103,100.00%,31.74%,20.68%,47.58%
11104,100.00%,31.92%,29.84%,38.24%
11105,100.00%,33.56%,18.94%,47.50%
11106,100.00%,29.91%,23.70%,46.39%
11109,100.00%,26.11%,18.25%,55.64%
11201,100.00%,17.80%,6.34%,75.86%
11203,100.00%,12.65%,7.36%,80.00%
11204,100.00%,35.61%,41.22%,23.17%
11205,100.00%,24.56%,15.44%,60.00%
11206,100.00%,32.92%,22.76%,44.33%
11207,100.00%,20.41%,12.38%,67.22%
11208,100.00%,33.87%,15.95%,50.18%
11209,100.00%,26.94%,17.75%,55.31%
11210,100.00%,20.59%,11.96%,67.45%
11211,100.00%,33.62%,20.66%,45.73%
11212,100.00%,12.66%,8.96%,78.38%
11213,100.00%,16.30%,8.10%,75.60%
11214,100.00%,24.19%,48.67%,27.13%
11215,100.00%,17.33%,5.27%,77.40%
11216,100.00%,13.72%,5.22%,81.06%
11217,100.00%,18.91%,6.62%,74.47%
11218,100.00%,28.88%,24.11%,47.01%
11219,100.00%,37.59%,39.87%,22.55%
11220,100.00%,22.84%,60.53%,16.63%
11221,100.00%,21.36%,14.89%,63.76%
11222,100.00%,20.44%,14.75%,64.81%
11223,100.00%,21.78%,40.23%,38.00%
11224,100.00%,18.14%,41.31%,40.55%
11225,100.00%,19.72%,7.99%,72.29%
11226,100.00%,22.51%,14.31%,63.18%
11228,100.00%,27.96%,32.24%,39.80%
11229,100.00%,24.01%,33.30%,42.69%
11230,100.00%,24.23%,29.98%,45.79%
11231,100.00%,17.14%,7.94%,74.92%
11232,100.00%,28.89%,35.11%,36.00%
11233,100.00%,13.84%,5.75%,80.40%
11234,100.00%,21.50%,13.67%,64.84%
11235,100.00%,23.58%,51.45%,24.97%
11236,100.00%,15.79%,8.87%,75.34%
11237,100.00%,36.45%,28.37%,35.18%
11238,100.00%,16.16%,4.95%,78.89%
11239,100.00%,13.92%,23.26%,62.82%
11354,100.00%,15.94%,62.45%,21.61%
11355,100.00%,16.74%,69.20%,14.05%
11356,100.00%,19.37%,50.91%,29.72%
11357,100.00%,25.77%,23.56%,50.66%
11358,100.00%,23.59%,44.23%,32.18%
11360,100.00%,26.29%,24.52%,49.19%
11361,100.00%,27.85%,28.24%,43.91%
11362,100.00%,29.16%,26.20%,44.64%
11363,100.00%,29.70%,18.05%,52.26%
11364,100.00%,26.78%,30.86%,42.36%
11365,100.00%,29.23%,31.19%,39.58%
11366,100.00%,34.71%,30.65%,34.64%
11367,100.00%,27.85%,29.12%,43.03%
11368,100.00%,32.29%,55.28%,12.43%
11369,100.00%,31.93%,40.90%,27.18%
11370,100.00%,29.27%,33.18%,37.54%
11372,100.00%,33.26%,46.06%,20.68%
11373,100.00%,35.57%,51.50%,12.93%
11374,100.00%,36.52%,31.90%,31.58%
11375,100.00%,35.12%,21.96%,42.92%
11377,100.00%,32.07%,43.11%,24.83%
11378,100.00%,32.97%,24.94%,42.09%
11379,100.00%,30.13%,18.96%,50.91%
11385,100.00%,34.02%,24.67%,41.31%
11411,100.00%,14.53%,5.78%,79.69%
11412,100.00%,8.19%,5.72%,86.09%
11413,100.00%,8.05%,4.71%,87.24%
11414,100.00%,22.35%,10.22%,67.43%
11415,100.00%,33.33%,20.65%,46.03%
11416,100.00%,35.82%,24.42%,39.76%
11417,100.00%,34.06%,19.83%,46.11%
11418,100.00%,31.41%,30.33%,38.26%
11419,100.00%,21.84%,17.33%,60.83%
11420,100.00%,21.27%,11.83%,66.90%
11421,100.00%,38.08%,31.74%,30.17%
11422,100.00%,16.58%,7.75%,75.67%
11423,100.00%,24.35%,16.98%,58.67%
11426,100.00%,34.63%,22.49%,42.89%
11427,100.00%,32.22%,23.62%,44.16%
11428,100.00%,23.47%,20.48%,56.05%
11429,100.00%,16.75%,14.76%,68.50%
11430,100.00%,21.78%,15.35%,62.87%
11432,100.00%,36.03%,30.68%,33.29%
11433,100.00%,11.53%,17.10%,71.37%
11434,100.00%,6.33%,4.27%,89.40%
11435,100.00%,24.46%,32.12%,43.42%
11436,100.00%,11.41%,7.41%,81.18%
11509,100.00%,10.55%,1.96%,87.49%
11559,100.00%,20.55%,5.57%,73.88%
11580,100.00%,24.54%,15.62%,59.84%
11581,100.00%,22.77%,13.73%,63.50%
11691,100.00%,21.29%,13.77%,64.94%
11692,100.00%,19.09%,12.69%,68.22%
11693,100.00%,22.18%,17.57%,60.25%
11694,100.00%,14.55%,6.79%,78.65%
11697,100.00%,3.02%,0.33%,96.66%